helpful 1,helpful 2,review,rating,summary
0,0,I've purchased a lot of B&D product and edger is one of the best! The trench feature is a great addition and it works great.  I can edge my small yard in minutes and I don't have to worry about mixing fuel or having to winterize my equipment.,5,For small yards
12,14,"If you need an edger, and don't want the trouble of maintaining a gas-powered edger, this is the electric edger for you. It's more powerful than most, and sturdy as all heck. But it's also pretty light, too. Very easy to move around the yard.This tool is as indespensible as my lawn mower. If you're edging your lawn with a string trimmer, or not edging your lawn at all, you'll love the results you can get so easily with this edger.",5,More than an Edger
0,0,So what did you want to know? I started my trimming carrier with the Black & Decker Automatic Feed Spool (AFS). It is just plug and go. I prefer my trimmer string to come from Black & Decker. This way I will not come unraveled trying to use some cheap substitute. The spools last longer than expected. But all good things come to an end and you don't want to be half way through the yard when you find your self strung out.,5,Don't find yourself strung out.
0,0,"This ""Black & Decker AF-100 String Trimmer Replacement Spool"" is exactly what I needed for my Black & Decker cordless weed trimmer. This is east to install and it works as well as the original spool that came preinstalled on my trimmer.Works as expected!Highly Recommended!CFH",5,Perfect Replacement - Highly Recommended
0,0,"If you have a Black and Decker string trimmer that uses auto-feed string, this is the spool to buy. The string works well. The spool snaps in easily and you don't have to mess with rolling a spool with bulk string.",5,It Works
0,0,This is the direct replacement part for the B&D; Grass Hog model NST2018.  I love that trimmer as it is easy to use and I don't have to fight with a gas powered trimmer and all the problems involved with using one.  This replacement spool directly fits onto the trimmer and is easy to change.  The trimmer is designed to automatically feed the trimmer line and I didn't want to mess with rewinding line onto the old spool.For me the 30 foot spool will last a whole cutting season or more and it is just easier to deal with than buying trimmer line and winding it yourself.  This is a good buy and works well.  I recommend it to you!,5,Direct replacement for the Black and Decker Grass Hog NST2018!
0,0,This is a direct replacement and works great. My only gripe is that this particular weed eater uses way to much line.,5,Works as promised
0,0,I bought this for my black and decker trimmer and where else would i buy these? its not worth driving to the store and look in different eisle to find something simple as these. Also amazon always seem to have the better price.,5,need it? get it.
0,0,GOOD,4,Four Stars
3,3,"At the time I purchased these replacement spools the official Amazon description listed only GrassHog NST2018 as compatible model. I can confirm that it works with the new GrassHog NST2118Black & Decker NST2118 12-Inch 18-Volt Ni-Cd Cordless Electric GrassHog String Trimmer/Edger.The automatic feed spool on GrassHog advances the string without needing to bump on the ground. The benefit of this system is that cutting is easier as it constantly replaces worn out string, the down side that the usage of the string is faster than when done manually.I have tried wounding the string by hand and found it a bit cumbersome and a bit time consuming, so I figured less than $5 per spool is not to bad to save me 5 minutes of time wounding and dealing with jammed string. Each spool contains 30 feet of 0.065 inch diameter round line. It is factory spooled and is wound tighter than when I wound the spool by hand.To replace the spool:1. Remove battery2. Squeeze the tabs on the spool cap to release it3. Pull the empty spool out by pulling directly away from the housing4. Clean out the housing from debris5. Make sure that the level that controls the spooling  is aligned with the edge of the housing6. Take a string from the new spool and feed it through the eyelet in the housing7. Push the spool into the housing and rotate it until it feels seated and the tabs of the spool align with the holes in the housing8. Put the cap back on9. The string outside the housing should be 5 3/8 inches, if it is longer than this length use scissors to trim itCollage of two different views of the spools in this package attached under customer photos.Overall, I am pleased with the spools - they should take me through the next couple of summers!Ali Julia review",5,Fits Black & Decker GrassHog NST2118
0,0,"-Quick and fairly easy to install- Seems to be of good quality- Only option I know of for replacements for the B and D trimmer- Too expensive as someone already noted. The retail price is even more out there so I'm glad Amazon cuts the price in half, but still expensive per roll.",4,Price a bit high
0,0,So what did you want to know? I started my trimming carrier with the Black & Decker Automatic Feed Spool (AFS). It is just plug and go. I prefer my trimmer string to come from Black & Decker. This way I will not come unraveled trying to use some cheap substitute. The spools last longer than expected. But all good things come to an end and you don't want to be half way through the yard when you find yourself strung out.Black & Decker CMM1200 19-Inch 24-Volt Cordless Electric Mulching Lawn Mower,5,Don't find yourself strung out.
1,1,"Works as expected, no surprises of any kind. I'm now on my 4th three pack and will get a 5th when the time comes.",5,Fits perfect
0,0,"Bought for the following trimmer...This little trimmer really eats up the weeds and tall grass. Much better than any other cordless trimmer that I've tried. Battery life is above average and charging is fast. I do have the B&D; Blower that uses the same battery so I have a back up should I need it. I'll edit this review and add to it after I've had the opportunity to use it longer but so far, I am very pleased with the product.",5,See review on the B & D LST 136 Trimmer.
0,0,"so good, Bought these as extra to have them on hand and the one my weed eater came with is still working. Will order more as needed, I am all for no muss, no fuss......",5,So Far
0,0,"I easily get two years out of a spool of this string while cutting both grass and weeds on my 18v trimmer.  It cuts clean and level and does not shred even on the harder stuff.  On rare occasions you may just break a little of the end off but that just tears away cleanly on your next trim, so no cutting of the line is necessary.  Yes, it is cheaper to just buy the line and wind it yourself, but for roughly $4 and some change it is hardly worth your time and effort.",5,Good quality string.
0,1,"I looked around at several websites, and multiple options on Amazon and this was the best deal I found.Fit into my Black and Decker Trimmer perfectly. Just snap in and go.",5,Best value around.
0,0,"For years, I lived with a Black & Decker trimmer that required hand-winding of the line spool.  What a fiasco!  Once the factory-wound spool ran out, the line never again fed properly.  No matter how much care one took with the hand-winding, the line always broke off prematurely -- from having gotten jammed up.  I spent at least as much time rewinding the spool as I did trimming grass.  Then I found the model Black & Decker trimmer that takes disposable spools -- like these.  They're a godsend.  Perhaps it's more economical to wind your own spool, but if your time (and blood pressure) mean anything to you, disposable spools are the way to go.  (And the manufacturer says you CAN hand-wind these spools if you like -- so you won't be stuck if you don't happen to have a fresh disposable spool on hand.)",5,Almost as Good as Sliced Bread
0,0,Simply - these reels are inexpensive and easy to replace and install. They seem to last pretty long also. Highly recomend,5,Works great.
0,0,"It took many years for my Black and Decker Gross Hog trimmer to use up all of its string.  Changing the empty string spool was a snap, and the new one works perfectly, just as I would expect.  No complaints.",5,"Simple Change, Reliable Auto-Feed, Just Like Original"
0,0,"My string trimmer is a great light duty tool and works very good. I bought the extra spools of string for two good reasons it is much cheaper through Amazon than our local retailers and with fuel for the auto's being at $3.35/ gal. this saves 3 trips to get the string and luck being what it is chances are when you give out of string the retailer will be out also. Good Buy from a good outfit to do business with(Amazon.com).Thanks again,Denny",5,STRING TRIMMER SPOOLS
0,0,These are the refill for my weed whacker.  They work fine and are easy to install.  It is always good to have a few extra to replace the spent roll.,4,GHood
1,1,"I've started winding my own spools now.  These are very convenient, but you really pay a hefty price for that convenience. I'm buying bulk string now and use my drill motor to wind it onto the empty spools.",5,Work Well - Heavy Price for Convenience
0,0,"...I wish B&D would make a refill that held more than 30 feet.  Otherwise, it's a good product.  I would give 4.5 stars if I could.",4,"Reasonably priced, but ..."
0,0,"super easy to swap out and last a long time, unless you are chopping concrete!  I use these all the time, as I feel they are worth the extra cost for the convenience.",5,great item
0,0,"got these for my b&d 20 volt trimmer- fit perfect, and no problems. a little expensive, now rewind myself, but will purchase more in the future for my lazy days!",4,works well
0,0,"I use this on my 18v trimmer.  It seems to last forever.  Changing spools is a little tricky, but once you do it the first time, it really isn't an issue.  Three spools will probably outlast the life of the trimmer - which I think is pretty well made.",5,Lasts forever
0,0,"I know it's a lot cheaper to re-string your own spools but these are really convenient, and without the hassle of doing it on your own.",5,perfect for people who have problems stringing their own spools
0,2,"It installs easily, and it works.  What more is there to say about a product like this.  When you have a weed-whacker, eventually, you will have to refill the spool.",3,It does what it was intended to do....
0,0,"This is the easiest replacement string to install on a weed wacker. No mess ,just place it in lock it and then go tackle your yard!",5,A must have
0,0,Easy to replace. Summer worth of string in these three spools. Carefully handle so that the string doesn't be OEM uncoiled prior to install.,5,Great trimmer and these work fine
0,0,"What can you say about replacement string. But, in 3 packs, more economical. It is fairly easy to replace. Good product",4,Its only replacement string
0,0,"I put these in a cordless 18 volt Black and Decker trimmer and they have worked flawlessly.  Just have to put them in the same way the old one came out with no tools just snapping them in place and letting about 4"" of string out and they feed the same way.",5,trimmer line replacements
0,0,Works great and is easy to replace spool of line string for my Black & Decker 20-volt battery/cordless weed trimmer!  Good value when purchased in package.,5,Does as designed and as advertized!
1,1,"I made the mistake of taking the spool that came with my B & D LST136 cordless trimmer and experienced what it would be like if I tried to save money by buying cord in bulk and winding my own spools.  I painstakingly wound the cord from left to right and from right to left as instructed in the manual.  I dropped it a few times and had to begin again.  I did it right because the cord does advance automatically in my trimmer, but I have to say I am glad I purchased spools that are already wound.  When I have to replace the spool that came with the trimmer, I will be careful to hold the cord tightly against the spool!",5,Handy replacements for my grass trimmer
0,0,BZZZZZTTTT.... ZAP ZAP.  Dead bugs all over the place.  I didnt use any of the mosquito attractant packs or anything but this thing does get rid of all the bugs around that are flying around if you have any lights on outside.  Its fun to catch beatles and throw them into the zapper  :D,5,bug zapper
3,4,"I bought this hoping to kill mosquitoes. I plugged it in and watched the beautiful zapping. After a few nights of this, I did some research and found that 99 percent of those zaps were useful bugs. I decided to return it after killing hundreds of useful bugs in my yard and maybe...maybe a mosquito or two.",5,It definitely kills bugs
0,0,"It was a little smaller than I expected, but that was actually a plus in my book. It feels durable and I like the fact that there is not a bug tray for collecting dead bugs. If you were using this on your deck or something, may that would be a different story, but you are really not supposed to use it where you will be sitting anyway. I sprinkled a pile of dietamaceous earth underneath this on the ground so that any crawling bugs like ants that come to feast on the new fried bug bits will meet their demise as well.",4,So far I really love this product
1,1,"This one has one bulb (versus 2 in the larger units).. I've found that these last a couple of years with regular (daily) use.. My last one lasted about two years - and when it went out, the problem wasn't the bulb - it was the transformer in the top of the unit.  It runs silent (no audible humming from more than a few feet away).",4,Works just as expected.. lasts a couple of years with regular use
4,5,"There's not too much I can say about something as simple as a bug zapper other than -- it works well, it's silent (except when zapping bugs), it DOES attract and eradicate mosquitoes and other flying insects, and it's only 15 watts.Happy with my purchase.",5,Quality bug zapper.
2,2,"I recently received this product and just put it out yesterday.  It seems to be working wonderfully and there was a pile of dead insects this morning to show for it!!  I will post again if I have any compaints...but don't really anticipate any.  12/30/08  I now have a complaint!  The light in this unit was faulty.  It still comes on but the light is yellow and not white like it's suppose to be and it doesn't attrack the insects now. The light went out about 2 months ago so it wasn't but maybe 4 months old. 7/27/09 I ordered a replacement bulb on March 22, 2009 to get ready for the mosquito season...today is 7/27/09 and that bulb burned out 2 days ago! 4 month life span...AMAZING!  Needless to say...I WON'T be replacing it again at a cost of $21.99.....and will be looking for another bulb that will work in this unit.",3,LIGHT IN UNIT WAS FAULTY......AND MORE DISAPPOINTMENTS!
31,39,"All products of this type are not effective for mosquito control, so if that's your intent, you must look for an alternative type of apparatus.  Bug zappers like this use UV light; it's been proven time and again that mosquitos have 0% attraction to UV light!  Oh, sure, the octenol attracts SOME types (not all) mosquitos, but the way this device is designed, the octenol cartridge hangs on the BOTTOM of the unit, away from the electric grid.  Mosquitos that are attracted have absolutely no reason to go inside the grid, because once again, they are NOT attracted to UV!All this device will do is kill a bunch of UV-attracted bugs, such as moths and mostly harmless aquatic-type insects that would NEVER have come near your home anyway if you didn't have a bright UV bulb shining in their faces.  Oh sure, by statistical chance, you'll kill a few mosquitos just by chance one flies in there by random but we're talking about less than 5% of the mosquito population will do that.  5% erradication is not going to solve any of your mosquito problems.  Folks, this is all scientific proof, so please don't believe the huff and puff of marketing schemes to make you believe otherwise.  If you need to control moths or non-mosquitos, then this unit might be good for you.  Otherwise, look for something else.",3,Not useful for mosquito control
0,0,"Only draw back I could come up with is my girlfriend is convinced the light is attracting more bugs from the neighborhood. lol.  We have a pool and a pond, along with wetlands on our property, so we simply have a lot of bugs.  This thing is working constantly while it is on.  The zapping can get quite loud, but it is doing its job.  We have it set up about 20 feet from out deck, and 15 from the pool.  You don't want it closer, as it will bring bugs around.  They are attracted to it...which is exactly what you want! Just not right next to you.  Cord it short, so you will need a heavy duty extension cord.  I hung mine on  a trellis, but if you don't have something to hang it from, you may need a sturdy stand...this things is pretty massive, and has some weight to it.",5,Very powerful Bug Massacre Machine!
1,1,"After a major fly infestation in Southern California this summer, I wanted something a little less offensive (smell-wise) than theRESCUE! FTD-DT12 Disposable Fly Trap(s) I'd been using to great effect. I did my research on Amazon and Flowtron was the hands-down winner. Although our entire lot is only 2000sf, I decided to spend the extra few dollars on the 1-acre model.It seems to work well, because I hear the thing buzzing all night long, and the housing definitely leaves a lot of space for insects to get in--one morning I found a praying mantis stuck in it. My major insect concern, though, was flies, and because they're only active during the day, the Flowtron is moot. And I was really looking forward to seeing some of those biting flies get their just deserts. If the mosquitos are getting theirs, maybe the ants are hauling the corpses away before I can do a body count.So what insect population am I decimating? Moths, evidently. The problem is, I don't mind the moths! One day I'll have a bigger backyard and then I'll give it a real workout (and an updated review). Still, I have no regrets about buying this unit.",3,"It's a great moth killer, but..."
0,0,Let me start by saying DO NOT BUY STINGER!!!  I bought 2 from Wally World and both are dead within a week.  I mean the light is barely visible already and it is no longer attracting insects.  I bought them because they were less expensive basically to save a buck.  I ended up throwing them away and buying 2 of these to replace them.I already have been using a Flowtron 1 Acre in one corner of my house for the past 4 years and it is on all the time.  It has been incredibly reliable and effective.  These are the only Electronic Insect Killers I recommend.,5,The best Electronic Insect Killer
0,0,The unit is certainly getting a workout after the wet summer.  I have not had any issues with the unit becoming clogged.  I used a timer to save the unit from operating during the day to limit electricity use and save the bulb life.  An unintended consequence of this unit was that I was able to light up a fairly dark area in our yard that gives an added sense of security.  I would recommend.,5,Great!
0,1,....to really tell if it works as we are short of mosquitos this year and I have not attached the bait that comes with it to attract what there are.  I have had several of these in the past and they proved effective and this should be the same.  Bulb cost is minimal thought limits advertised effectiveness to a half acre.  I'm not sure how they figured that out but our deck is 20 feet from a small pond that hatches these guys and this little machine should be OK to zap 'em.,4,Too early...
0,0,Great price and it attracts bugs. It is on the side of our house and it seems to be helping.,5,Great price and it attracts bugs
1,2,"I am with a very small number of reviewers here that I have to wonder how this silly thing got that many positive reviews. I have a small backyard, but was constantly attacked by mosquitoes everytime I went out. I have no standing water or what so ever. My neighbors might, but this thing is supposed to cover an whole acre.I followed the instruction, hung it a good distance from the porch and let it go. Oh, I also add the flowtron tape that came with the device to the bottom. A few zaps here and there, but nothing spectacular. I left it on out there for a week, and saw no difference. Still got attacked by mosquitoes. Two weeks, same thing. After a month, I gave up and took it down. There is no point to waste electricity. Oh, it served one purpose: light up that corner of the yard some.So, don't waste your hard-earned money on this thing and electricity. I am almost sure you will be disappointed. This thing will go on my next trip to Goodwill.",1,It does nothing - waste of money..
2,2,Can't say enough good about this unit. I did a LOT of research before buying one and have to say i'm very happy with this choice. It make a big difference on our back porch so long as you follow the directions. You want it mounted AWAY from where you're relaxing so it attracts the insects away from you. This thing zapps them non-stop. Sometimes we just sit on the back porch and laugh at zap after zap. :),5,EXCELLENT zaper
7,13,"This light is pretty worthless.  It kills lots of moths and other non-biting bugs but didn't put a dent in the mosquito or fly population.  I got this as an alternative to my unreliable SkeeterVac but it does not work and is equally unreliable.  The bulbs blew after 1 season.  Replacement bulbs are $40 each plus shipping.  It takes 2.  That is $90 for 2 bulbs and I only paid $80 for the whole unit.  Thanks but no thanks.Unfortunately, the only thing I've found that actually catches mosquitoes is the propane powered devices.  They are all unreliable too.  Skip the zappers and traps and use deet.",1,Great for killing moths.  Too bad they don't bite.
4,4,"Thus far after a week has done a good job but have to use a blower every day to blow out the debris, Bulbs are good and I run it24/7 thus a good buy, Having lots of mosquitos I bought to ofthe 1/2 acre ones thus put them in different places around the home here, Big plot of land here in rural area of gulf coast, Does not get them all but sure helps a lot",4,Nice
0,0,"I purchased one of these for my backyard that is about 1/2 acre and has lot's of foliage and a koi pond.  I built a stand for it and placed it about 20' from our patio, on the oppsite side of the koi pond and it seems to work very well.  It utilze's an arc of electricity to kill the insects that are unlucky enough to go to the light.  There are verticle bars surrounding the lamp that when a insect touches two of the bars, the flowtron utilizes the insect to complete the circuit until there isn't sufficient insect left (burnt up) to continue the arc.  Generally this is a fairly quick process (ZAP) however the occasional moth or larger bug will fly in and you'll hear a nice zaaaaaaaap or sizzzzzzzle until enough is ""gone"" to break the arc.Maybe it's morbid - I enjoy hearing the zap and the occasional sizzzzzzzzle because that is one less nusuance bug to bite my family, my guests or my dog.  I can whole heartedly recommend this product!",5,Bzzzzzzzzzzz
0,0,"For instance, if you want the bugs off of your patio, do not install it on the patio.  Install it about 25 feet away, and you will be amazed at how well it works.",4,"works, if you follow the directions"
7,11,"SO living on a mini ranch I got this to cut down on flies and mosquitoes.  The mosquito attractant did a good job, but didn't last that long, and was expensive to replace. The pesky ""flies"" go to bed at night so they aren't attracted to it.  Otherwise it would just attract ""non pesky"" bugs in my opinion like moths and I felt really bad hearing them sizzle and zap when they didn't bother me. One night I went out and noticed there was a lot of moths and huge ones all around the bug zapper. I felt like they were trying to tell bugs and moths to stay away, so I took it down.. I know I am crazy and too kind but I kinda believe in Karma and not hurting anything unless it hurts me so I will just use it for bbq's and times where I am outside, and make sure I have the mosquito attractant.. I know I am crazy, but that is how I feel :)",3,"A good bug zapper, but attracted a lot of moths"
0,0,We have had a very wet summer here in Georgia and the bugs have been horrible. This was a great price for what you get and does the job.,4,Bye Bye Bugs
0,0,"I just threw away one of these  that I've had for over twenty years. I later found out that what I thought was an electrical issue, was really only a bulb gone bad. Well, anyway, I bought a new one and it looks a lot better than the old one, and seems to work just as well. Not sure just how many mosquitoes it's killing, but there's a pile of insects on the deck below it every morning.",4,Had One For Years
1,2,received this yesterday and installed it. it replaced an old one by flowtron I have had for 10 years. this one is for 1 acre and the light appears to be very intense. it was zapping last nite.,5,bug killer by flowtron
2,2,"Not sure if this really gets mosquitoes.  It does kill everything else. It is like a redneck carnival outside!  It goes crazy the first few nights it is outside and then tapers off.  So it does a good job of keeping bugs down.  Unfortunately it kills good bugs and pesky bugs.I bought the mosquito sent, but they don't stay stuck to the bottom well.  There is not enough surface area for the sticky part to adhere to.It is also pretty bright.  I had to close the blinds at night as it lite up the whole room.",3,"Kills everything, not sure if it reduces mosquitoes"
0,1,I have my old machine from Sear Lure is not reguire it was heavy. Sorry to get rid of it. The new one was not really working right. hardly kill bug.,2,need to buy lure
0,4,i have not taken this out of the box yet but it looks great. note: it is recommended that this be located a certain distance from the house it protects...and it requires power.,5,insect killer
13,13,"I do love this bug zapper, but I noticed there weren't as many dead bugs around it as I thought there would be, seeing as we have a heavily wooded property complete with creek (lots of bugs!).  One late night, almost midnight, I went out into the side yard with my dog so she could do her business, and saw BATS flying from the woods and zooming by the bug zapper, then back to the trees again.  The bats were picking off the bugs that were attracted by the bug zapper!  How cool is that?!?  I am such a city kid that I made myself a cup of hot cocoa and sat by the back door with the porch light on, just watching the bats go back and forth.  Since that evening, I've seen the bats almost every time I happen to go outside late at night, so I guess my bug zapper is doing well to keep our local bats fat and happy.  (I'm glad to say the bats are in no danger from this zapper due to the grid guard, btw.)I've had this 80 watt model for over 3 months now, and it works beautifully even though it's exposed to the wind, rain, and hail.  Depending on how warm the weather has been, I'll take the leaf blower to it to clean the bug zapper every week or two.  With the leaf blower, the bug zapper swings around wildly, but it doesn't damage this sturdy bug zapper!  All bugs come off easily.I also have this zapper on a light-sensitive timer, so it comes on at dusk, and off again at dawn.",5,A bat buffet!
0,0,"I love hearing the zap zap zap.  Have been using this thing in South Florida for over a year now, and left it out to brave quite a few storms, and it's still going on strong.",5,Sturdy Zapper
3,3,"For all the negatives, I am giving it 4 stars because it does it job so well.Pros:-It does it job well.Cons:-Power cord is not even a foot long.  You will always need an extension.-Loud, but I don't know any effective zappers without that kind of noise especially when it get bigger insects-It does not have a pan to catch the insects so expect to see a little mess at the foot of the zapper.-Not a very attractive design",4,Kills a Lot of Bugs But Cord is Very Short
1,1,This thing is a bug terminator zapping any bug that comes in. At first it got pretty clogged up (lots of bugs in FL) but the lizards and frogs have done a nice job cleaning it up for me. It’s to me a necessity here if you want piece from the mosquitos.,5,Bug terminator!
310,343,,3,"Effective but not completely; and, it DOES CLOG (at first!)"
1,1,"July 18th, Just received the first bug zapper. Currently giving it one star rating r/t it being DOA. As always, Amazon stands by its products and has excellent customer service. I also bought the shepherds crook that is 48"" tall that was purchased by many others, and IMO it is too short. The instructions state to hang it 6-8' in the air. If this is  true, this crook will be insufficient for optimal bug zapping. Hopefully I'm wrong with this one!I'll update when I receive my replacement unit.UPDATE JULY 20thAmazon got me the replacement device with enough time to spare for the party tonight, which I'm exceptionally happy for. The first bug zapper is back in the box waiting to ship back, and the new one is out waiting for tonight for some bug carnage. When I opened the package (which was NOT damaged) the first thing I notice is the electrified grid is bent and misshapen. I tried to push bend it back, but it looks like it is a factory defect. The bad thing is because of this defect, the safety of the device is decreased - I can tough the electrified grid with my fingers without a problem! I'll see if later I can remove the lightbulb so it'll allow me to correct the metal bending a bit more. I luckily don't have children, however if I did they would have zero problems zapping their fingers.Flowtron is DEFINITELY not scoring big points with this device thus far! We will see how things go tonight.UPDATE AUGUST 1stThe bug zapper has been working out great. I can't tell you the thousands of annoying insects this thing has fried. On a cooler night it went crazy. It was the best serial killer I've ever seen. The Mosquitos have had a severely noticeable decline. Previously I couldn't leave the back door for more than 5 minutes without receiving multiple bites, and now can sit outside for 30 minutes with a rare bite attempt. Huge improvement! The zapping grid is still a bit bent out of shape, but its obviously working, so no complaints!One note: In the directions it states, ""The (product number)15 and (product number)80 are designed with a three pronged (grounded) plug). The (product name)40 is made with a two pronged plug and should be installed with the appropriate plug recepticle. ... NOBODY sells 2-prong extension cords anymore! And with the literally 1' cord that it comes with this is KIND of a huge thing! I guess we'll see what happens with the 2 hold cord in a 3 hole plug!",3,"First bug zapper = DOA, second one is bent but works"
0,0,"Can't speak to the 1 acre coverage, but, it does the job for the back deck. Not as loud as other bug zappers we've had and that's a good thing.",4,Kills bugs
0,0,"We just received this unit this week, and can already note an improvement in our yard. We have used dunks for some water gardens we have, and have been impressed with the Flowtron unit thus far. A lot of dead mosquitoes every morning. We hook it up to an outdoor timer and run the unit automatically from dusk to dawn.  It will take about three weeks for all the eggs to hatch and mature then we'll see a great reduction in mosquitoes.It's been a very wet in North Texas and we have a bumper crop this year. Am going to explore mixing up some hot pepper and garlic--recipes are available online as a barrier. We hope a combination on factors can help rid us of a heavy mosquito population. Have not noticed any beneficial insects on or under the grids.We compared brands and sizes and selected this one due to reviews of others on Amazon. Recommend the bigger wattage for better attraction of flying insects--with mosquitoes being our main target.",5,Keeping Mosquito Population Down
0,0,"We found the 80D not much more to buy than the 1/2 acre 40D, and it likely does provide a wider area of coverage.  It will use more electricity, but I intend to put it on a sensor, so it will run dusk to dawn.  As others reported, we found a pile of carnage after the first night....mostly mosquitoes.  Read the instructions about locating and baiting....ours is forty feet upwind of our hot tub, patio, and screened porch so the black light and scent bait draws bugs away from us, and intercepts those coming from upwind.  Far enough away from food and guests to avoid the health hazards reported, and the ""zapping"" is not obtrusively loud.Ours arrived with a small plastic tab laying in the bottom of the tray.  Investigating, I discovered a self-tapping screw had cross-threaded during assembly, breaking off one of four tabs used to secure the safety cage.  This would not have easily been detected by Quality Control at Flowtron.  I contacted Parts and Service.  They had me email my Amazon receipt, and immediately sent me a replacement cage.  Nice service!",5,READ DIRECTIONS - DIE SKEETERS DIE!!
1,1,This does not make a huge difference in mosquito's bothering us.  It just lets us hear them die once in while. There is a perverse pleasure in that.,3,EXPENSIVE AUDIO SATISFACTION OF MOSQUITO DEATH
3,3,We use these loppers for our habitat restoration work at the Nature Conservancy's Ives Road Fen Preserve.  They can cut a fairly large bush or sapling.  After 100 hours or so of use the linkages wear.  After more hours the fiberglass handles become flexible and fracture where the rivets go through them.  We have figured out how to rebuild/repair both of these areas.  In seven years two blades have broken.  Replacement blades can be purchased from the Corona website.  A homeowner using these would have no problems in a lifetime of use.  These are the best combination of high capability and low cost that we have found.  The anvil type blade can be easily sharpened with a hand-held angle sharpener.,4,Excellent for Homeowner Use
0,0,"At first I didn't like this Corona pruner because it didn't seem to cut well.  Then I realized the source of the problem was me.  I was pruning deadwood inside a hedge with little clearance for the handles, so the jaws were not fully open and the cuts were being made near the tip of the blade and anvil.  User error.  Not only did the pruner cut poorly in this position, but also the blade tended to twist.  Finally I figured out this pruner comes into its own when cutting deep in the V.  That is where its power comes into play and that is where the pruner works very well. Not sure why the difference, but there it is.  So now I know to reserve this Corona pruner for when its jaws can be opened wide, and to use a smaller pruner or a small saw for tight spaces.",5,"Didn't Like It at First, Now I Do."
7,7,the first thing that happened was that the two end caps fell off. where? i don't know. but i hope to find them. i really think this is a 1 inch capacity lopper. in my experience there is no way this can cut 2 inches of wood. what kind of wood can it cut 2 inches of? yes it is a great tool but for 1 inch branches or less. i am happy that i bought it but it is for light duty and it does a great job of light duty work. i have been outside clearing a lot of branches and brush and i cannot ever see this cutting 2 inches of anything.,3,my own experience with this tool
1,1,"I needed some loppers to cut some branches on some trees, decided to go with these because of the price and all the positive feedback.  They work flawlessly and now I can keep my house trees trimmed to where I want them.",5,Great Loppers!
6,8,"On a brisk February day the mighty Spudman purposely trod to the extremes of Spud Acres to cut some kindling for his fireplace and test out his new 32"" Corona anvil lopper with a stated two inch capacity. He laid out some fallen branches of varying diameters and with arms like pistons began to cut. On smallish one inch wood he was mostly successful with few drops of sweat shed.An intimidating 1.5"" branch tested his mettle and the lopper's metal, but with his brute strength Spudman prevailed. However he met his match with the imposing two inch diameter branches, stubborn wood that even he with his new Corona couldn't master. Frustrated, he tried his tool on a thick piece of rotted wood. Success! But just barely.The dejected Spudman walked back to the house, sat down, and read the glossy attachment that had been tied to the Corona.32 inch compound action - check24 inch fiberglass handles - check8 inch non slip foam grips - checkCuts up to 1.5 inches - chabonga!He returned to Amazon and read the product page again. ""It don't say nothin' bout 1.5 inches,"" he griped.Since he had scored a warehouse deal and bought his loppers for pennies under 20 dollars, he decided to keep them. IThe Corona will keep company with his little Fiskars and the Ace telescoping-handle loppers in the garden shed. Spudman will continue to use his Corona loppers for the one inch wood. For the thicker stuff, he'll use his little Black and Decker 18V battery powered chainsaw or just snap the sticks into pieces with his Herculean arms.""Made in Taiwan to Corona's exacting specifications.""",3,Corona Corona From Across the Sea
1,1,Corona makes the best quality gardening equipment.  I own pruning saws as well as the hand pruners.  Most importantly they last forever! I have experienced so many other brands that give out after just a little use.,5,Quality Pruners
0,0,"I have used a number of pruners, but these are my fav.  Sharp and powerful.  Like the fact that you can sharpen them rather easily extending their value and lifespan.  Great for all my needs.",5,Best I have used
0,0,I really love these pruners. They are heavy duty (up to 1 inch). They are more reasonable than some similar Felco pruners I bought (which are also good). I recommend these.,5,pruners
3,4,"These clippers are great.  Easy to grip and sharp enough to really get the job done.  I like the locking hook that keeps them closed when not being used.  Also, the red handles are a big help to spot them when you've laid them down among your clippings.",5,cool tool
0,0,"I lost my pruners in a move and had let my plants get sadly overgrown while I was SURE I was going to find my old pruners. Finally, my front yard looked pretty ridiculous and I came here in search of relatively inexpensive bypass pruners. I read lots of reviews and decided to go with this, and I'm glad I did. I had no problem using these to cut small branches and bushes. The handle felt comfortable in my (fairly small) hands, it hasn't stuck or jammed, and they feel like they're made to last. Thanks for steering me right, other reviewers. :)",5,Nice Quality Pruners
7,8,"I recently purchased these pruners in a package that contains a second pruner that also cuts string and opens boxes. Lifetime guarantee, and both at the local Costco cost the same as the one on Amazon.",5,Great pruner.
0,0,I am a landscape contractor and we use a lot of different hand tools. There are a number of very pricey pruners out there but I have found that these operate extremely well at a fraction of the cost of some others. They are forged heavy grade pruners with nice grips. Just keep the blades oiled and clean.,5,Smooth operator
0,0,"This pruner does not even remotely cut 1"" branches, wet or dry.  Does not cut 3/4"" branches.  It may cut SOME 1/2"" dry branches but at least the one I received was not sharpened and I was forced to return it.  Have not decided on a new one yet, since I was so disappointed after reading all the great feedbacks and finding different.",2,Had to return...
26,26,"this is a very good product.  i laid it on top of 4 metal fence posts at the corners of my strawberry bed.  it is surprisingly strong.  it gets snagged on just about everything, but does not rip.  it keeps the birds and cats out of my strawberries.  i will be buying more in the future.",5,bird block
